Animal,Experiment,Box,phase,subphase,subsubphase,component,freezing,motion
78,201215_SEFL20_Atoneshock_g3,1,A_training,bl,,bl,5.62,129.87
78,201215_SEFL20_Atoneshock_g3,1,A_training,cs,,cs_1,50.44,85.05
78,201215_SEFL20_Atoneshock_g3,1,A_training,cs,,cs_2,63.44,105.53
78,201215_SEFL20_Atoneshock_g3,1,A_training,cs,,cs_3,75.89,85.84
78,201215_SEFL20_Atoneshock_g3,1,A_training,postcs,,postcs_1,12.47,126.87
78,201215_SEFL20_Atoneshock_g3,1,A_training,postcs,,postcs_2,36.83,57.68
78,201215_SEFL20_Atoneshock_g3,1,A_training,postcs,,postcs_3,45.78,41.77
78,201215_SEFL20_Atoneshock_g3,1,A_training,shock,,shock_1,0,784.55
78,201215_SEFL20_Atoneshock_g3,1,A_training,shock,,shock_2,0,778.18
78,201215_SEFL20_Atoneshock_g3,1,A_training,shock,,shock_3,0,457.38
79,201215_SEFL20_Atoneshock_g3,2,A_training,bl,,bl,4.67,197.81
79,201215_SEFL20_Atoneshock_g3,2,A_training,cs,,cs_1,8.33,162.75
79,201215_SEFL20_Atoneshock_g3,2,A_training,cs,,cs_2,61.11,44.85
79,201215_SEFL20_Atoneshock_g3,2,A_training,cs,,cs_3,84.33,37.59
79,201215_SEFL20_Atoneshock_g3,2,A_training,postcs,,postcs_1,16.12,119.33
79,201215_SEFL20_Atoneshock_g3,2,A_training,postcs,,postcs_2,25.9,71.51
79,201215_SEFL20_Atoneshock_g3,2,A_training,postcs,,postcs_3,55.95,24.08
79,201215_SEFL20_Atoneshock_g3,2,A_training,shock,,shock_1,0,713.83
79,201215_SEFL20_Atoneshock_g3,2,A_training,shock,,shock_2,0,484.87
79,201215_SEFL20_Atoneshock_g3,2,A_training,shock,,shock_3,0,471.55
4,201216_SEFL20_Atonetest_g1,1,A_tonetest,bl,,bl,31.74,45.19
4,201216_SEFL20_Atonetest_g1,1,A_tonetest,cs,,cs_1,87,7.75
