Region,Cell,HM4D,SpikeT_ms_chunked,SpikeT_sec_chunked,RecordChunk,SpikeT_sec
vCA1,231101_cell2,pos,637149.625,637.149625,0,637.149625
vCA1,231101_cell2,pos,638910.875,638.910875,0,638.910875
vCA1,231101_cell2,pos,645436.875,645.436875,0,645.436875
vCA1,231101_cell2,pos,646148.875,646.148875,0,646.148875
vCA1,231101_cell2,pos,650559,650.559,0,650.559
vCA1,231101_cell2,pos,654116.8125,654.1168125,0,654.1168125
vCA1,231101_cell2,pos,654287.375,654.287375,0,654.287375
vCA1,231101_cell2,pos,660233.3125,660.2333125,0,660.2333125
vCA1,231101_cell2,pos,662753.8125,662.7538125,0,662.7538125
vCA1,231101_cell2,pos,664644.625,664.644625,0,664.644625
vCA1,231101_cell2,pos,664688.1875,664.6881875,0,664.6881875
vCA1,231101_cell2,pos,666746.3125,666.7463125,0,666.7463125
vCA1,231101_cell2,pos,674032.875,674.032875,0,674.032875
vCA1,231101_cell2,pos,678721.5,678.7215,0,678.7215
vCA1,231101_cell2,pos,680595.375,680.595375,0,680.595375
vCA1,231101_cell2,pos,682012,682.012,0,682.012
vCA1,231101_cell2,pos,685907.1875,685.9071875,0,685.9071875
vCA1,231101_cell2,pos,688215.5,688.2155,0,688.2155
vCA1,231101_cell2,pos,690971.8125,690.9718125,0,690.9718125
vCA1,231101_cell2,pos,696109.3125,696.1093125,0,696.1093125
vCA1,231101_cell2,pos,699411.1875,699.4111875,0,699.4111875
vCA1,231101_cell2,pos,703509.8125,703.5098125,0,703.5098125
vCA1,231101_cell2,pos,706105.5,706.1055,0,706.1055
vCA1,231101_cell2,pos,709076.1875,709.0761875,0,709.0761875
vCA1,231101_cell2,pos,710688.375,710.688375,0,710.688375
vCA1,231101_cell2,pos,712833.625,712.833625,0,712.833625
vCA1,231101_cell2,pos,715927.625,715.927625,0,715.927625
vCA1,231101_cell2,pos,721797,721.797,0,721.797
vCA1,231101_cell2,pos,725852,725.852,0,725.852
vCA1,231101_cell2,pos,730417.5,730.4175,0,730.4175
vCA1,231101_cell2,pos,733913.125,733.913125,0,733.913125
vCA1,231101_cell2,pos,735771.6875,735.7716875,0,735.7716875
vCA1,231101_cell2,pos,736889.875,736.889875,0,736.889875
vCA1,231101_cell2,pos,740944.6875,740.9446875,0,740.9446875
vCA1,231101_cell2,pos,741114.125,741.114125,0,741.114125
vCA1,231101_cell2,pos,746798,746.798,0,746.798
vCA1,231101_cell2,pos,753373.625,753.373625,0,753.373625
vCA1,231101_cell2,pos,754667.5,754.6675,0,754.6675
vCA1,231101_cell2,pos,756141,756.141,0,756.141
vCA1,231101_cell2,pos,762047,762.047,0,762.047
vCA1,231101_cell2,pos,768061.875,768.061875,0,768.061875
vCA1,231101_cell2,pos,769912.1875,769.9121875,0,769.9121875
vCA1,231101_cell2,pos,771575.1875,771.5751875,0,771.5751875
vCA1,231101_cell2,pos,775063.3125,775.0633125,0,775.0633125
vCA1,231101_cell2,pos,775582,775.582,0,775.582
vCA1,231101_cell2,pos,779904.3125,779.9043125,0,779.9043125
vCA1,231101_cell2,pos,780035.125,780.035125,0,780.035125
vCA1,231101_cell2,pos,787166.3125,787.1663125,0,787.1663125
vCA1,231101_cell2,pos,791585.875,791.585875,0,791.585875
vCA1,231101_cell2,pos,795945.3125,795.9453125,0,795.9453125
vCA1,231101_cell2,pos,800278.3125,800.2783125,0,800.2783125
vCA1,231101_cell2,pos,805272.5,805.2725,0,805.2725
vCA1,231101_cell2,pos,809198,809.198,0,809.198
vCA1,231101_cell2,pos,809423.8125,809.4238125,0,809.4238125
vCA1,231101_cell2,pos,811866.8125,811.8668125,0,811.8668125
vCA1,231101_cell2,pos,814147.8125,814.1478125,0,814.1478125
vCA1,231101_cell2,pos,814412.5,814.4125,0,814.4125
vCA1,231101_cell2,pos,818046.6875,818.0466875,0,818.0466875
vCA1,231101_cell2,pos,819727.625,819.727625,0,819.727625
vCA1,231101_cell2,pos,823920.125,823.920125,0,823.920125
