Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),DstFrmCnt_in,Distance_px,Distance_in
10,1,OF1_10_2022-11-28 14-58-21.mkv,99,TRUE,0.7,50,1440,1,"(1800, 3600)",6.470769317,487.4229095,49.21579874
10,1,OF1_10_2022-11-28 14-58-21.mkv,99,TRUE,0.7,50,1440,2,"(3600, 5400)",6.96347407,798.6145497,80.6372704
10,1,OF1_10_2022-11-28 14-58-21.mkv,99,TRUE,0.7,50,1440,3,"(5400, 7200)",6.917536632,709.5733695,71.64665317
10,1,OF1_10_2022-11-28 14-58-21.mkv,99,TRUE,0.7,50,1440,4,"(7200, 9000)",7.837463285,482.9550298,48.76467044
10,2,OF2_10_2022-12-05 12-51-24.mkv,99,TRUE,0.7,50,900,0,"(0, 1800)",7.856982191,5259.349669,354.8944977
10,2,OF2_10_2022-12-05 12-51-24.mkv,99,TRUE,0.7,50,900,1,"(1800, 3600)",7.362508937,3023.026983,203.9901718
10,2,OF2_10_2022-12-05 12-51-24.mkv,99,TRUE,0.7,50,900,2,"(3600, 5400)",6.124170704,1224.424268,82.62265542
10,2,OF2_10_2022-12-05 12-51-24.mkv,99,TRUE,0.7,50,900,3,"(5400, 7200)",6.822752442,1821.725956,122.9278445
10,2,OF2_10_2022-12-05 12-51-24.mkv,99,TRUE,0.7,50,900,4,"(7200, 9000)",5.947953928,1651.930149,111.4702306
11,1,OF1_11_2022-11-28 15-10-22.mkv,99,TRUE,0.7,50,1260,0,"(0, 1800)",7.826703444,1775.810702,181.5181023
11,1,OF1_11_2022-11-28 15-10-22.mkv,99,TRUE,0.7,50,1260,1,"(1800, 3600)",8.287692736,896.1249205,91.59923117
11,1,OF1_11_2022-11-28 15-10-22.mkv,99,TRUE,0.7,50,1260,2,"(3600, 5400)",8.092423225,1134.380755,115.9530359
11,1,OF1_11_2022-11-28 15-10-22.mkv,99,TRUE,0.7,50,1260,3,"(5400, 7200)",7.624987612,1438.783889,147.0682212
11,1,OF1_11_2022-11-28 15-10-22.mkv,99,TRUE,0.7,50,1260,4,"(7200, 9000)",7.972402542,1042.102149,106.5205905
11,2,OF2_11_2022-12-05 13-02-05.mkv,99,TRUE,0.7,50,900,0,"(0, 1800)",7.489993638,4768.520301,321.7739309
11,2,OF2_11_2022-12-05 13-02-05.mkv,99,TRUE,0.7,50,900,1,"(1800, 3600)",7.882069897,3426.850419,231.2396845
11,2,OF2_11_2022-12-05 13-02-05.mkv,99,TRUE,0.7,50,900,2,"(3600, 5400)",7.149918049,3575.655639,241.2808791
11,2,OF2_11_2022-12-05 13-02-05.mkv,99,TRUE,0.7,50,900,3,"(5400, 7200)",5.964526852,3249.879798,219.2979229
11,2,OF2_11_2022-12-05 13-02-05.mkv,99,TRUE,0.7,50,900,4,"(7200, 9000)",7.563648705,2067.780071,139.5312759
12,1,OF1_12_2022-11-28 15-17-00.mkv,99,TRUE,0.9,50,1110,0,"(0, 1800)",7.780182032,2050.681728,211.8518934
12,1,OF1_12_2022-11-28 15-17-00.mkv,99,TRUE,0.9,50,1110,1,"(1800, 3600)",7.268290505,726.121641,75.01419767
12,1,OF1_12_2022-11-28 15-17-00.mkv,99,TRUE,0.9,50,1110,2,"(3600, 5400)",7.674221931,1577.625657,162.9814017
12,1,OF1_12_2022-11-28 15-17-00.mkv,99,TRUE,0.9,50,1110,3,"(5400, 7200)",6.406461067,805.7787214,83.24341388
12,1,OF1_12_2022-11-28 15-17-00.mkv,99,TRUE,0.9,50,1110,4,"(7200, 9000)",6.479113828,791.9129992,81.81097341
12,2,OF2_12_2022-12-05 13-10-20.mkv,99,TRUE,0.7,50,900,0,"(0, 1800)",7.529055776,3770.420202,254.4233542
12,2,OF2_12_2022-12-05 13-10-20.mkv,99,TRUE,0.7,50,900,1,"(1800, 3600)",7.571221629,2103.396019,141.9345966
12,2,OF2_12_2022-12-05 13-10-20.mkv,99,TRUE,0.7,50,900,2,"(3600, 5400)",8.173857674,2996.37433,202.1916833
12,2,OF2_12_2022-12-05 13-10-20.mkv,99,TRUE,0.7,50,900,3,"(5400, 7200)",7.4065698,2666.897436,179.9589845
12,2,OF2_12_2022-12-05 13-10-20.mkv,99,TRUE,0.7,50,900,4,"(7200, 9000)",6.611352948,1693.782068,114.294347
13,1,OF1_13_2022-11-28 15-28-50.mkv,99,TRUE,0.9,50,1110,0,"(0, 1800)",8.307430605,1469.332654,151.7938647
